graph, edges, result, time
G70_50, 1207, UNSAT, 0.14321184s
G70_60, 1449, UNSAT, 0.19360709s
G70_70, 1690, UNSAT, 0.26059198s
G70_80, 1932, UNSAT, 0.33590007s
G70_90, 2173, UNSAT, 0.42905712s
G70_100, 2415, UNSAT, 0.51455498s
G71_10, 248, UNSAT, 0.02027106s
G71_20, 497, UNSAT, 0.05113792s
G71_30, 745, UNSAT, 0.08373117s
G71_40, 994, UNSAT, 0.14597917s
G71_50, 1242, UNSAT, 0.15922618s
G71_60, 1491, UNSAT, 0.22584200s
G71_70, 1739, UNSAT, 0.28922987s
G71_80, 1988, UNSAT, 0.34549189s
G71_90, 2236, UNSAT, 0.45262289s
G71_100, 2485, UNSAT, 0.57703304s
G72_10, 255, UNSAT, 0.02200603s
G72_20, 511, UNSAT, 0.04722309s
G72_30, 766, UNSAT, 0.10858107s
G72_40, 1022, UNSAT, 0.14962983s
G72_50, 1278, UNSAT, 0.18944311s
G72_60, 1533, UNSAT, 0.24655485s
G72_70, 1789, UNSAT, 0.30016804s
G72_80, 2044, UNSAT, 0.36481714s
G72_90, 2300, UNSAT, 1.10052395s
